epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3014.72,0.90172,0.64155,0.89762,0.64033,0.37919,0.43319,0.30841,0.98137,0.8669,0.90458,0.0669014,0.000233324,0.000233324
2,5801.19,0.86995,0.58833,0.89027,0.71248,0.44472,0.51652,0.37038,0.90011,0.73715,0.87661,0.0338007,0.000465945,0.000465945
3,8510.01,0.84879,0.5604,0.8848,0.82046,0.3626,0.49552,0.37421,0.97542,1.57195,0.85137,0.000697097,0.000695724,0.000695724
4,11275.5,0.83235,0.53759,0.88029,0.33561,0.41605,0.35682,0.27219,0.90362,25.2819,0.84433,0.000690426,0.000690426,0.000690426
5,14128.7,0.81442,0.51284,0.87553,0.48726,0.31693,0.37686,0.29636,0.92445,68.5559,0.84627,0.000683041,0.000683041,0.000683041
6,16894.9,0.80261,0.49513,0.87166,0.51912,0.25787,0.3473,0.27844,0.92218,17.5952,0.84534,0.000673624,0.000673624,0.000673624
7,19688.7,0.79394,0.48333,0.86905,0.43366,0.24384,0.33007,0.26868,0.89856,16.6416,0.83932,0.000662234,0.000662234,0.000662234
8,22438.7,0.78662,0.47198,0.86631,0.8521,0.23269,0.5516,0.46591,0.86862,3.28878,0.83325,0.00064894,0.00064894,0.00064894
9,25220.4,0.78076,0.46369,0.86445,0.89941,0.21965,0.56611,0.48624,0.83653,3.36732,0.8263,0.000633824,0.000633824,0.000633824
10,27962.4,0.77566,0.45678,0.86254,0.93159,0.2135,0.57736,0.50372,0.82184,3.35176,0.82237,0.000616981,0.000616981,0.000616981
11,30812.3,0.7708,0.45115,0.86112,0.93322,0.21268,0.57834,0.50891,0.80229,3.48,0.81884,0.000598512,0.000598512,0.000598512
12,33698.8,0.76625,0.44551,0.85981,0.90794,0.21812,0.57068,0.50104,0.78718,3.65247,0.81646,0.000578534,0.000578534,0.000578534
13,36581.7,0.76229,0.43944,0.85892,0.87638,0.24064,0.56851,0.49439,0.77796,3.5125,0.81511,0.000557168,0.000557168,0.000557168
14,39445.2,0.75897,0.43457,0.85775,0.84261,0.28224,0.57622,0.49373,0.77649,3.20793,0.81451,0.000534546,0.000534546,0.000534546
15,42123.6,0.75556,0.43108,0.85693,0.80337,0.33365,0.59091,0.49651,0.78576,2.8189,0.81511,0.000510808,0.000510808,0.000510808
16,44923.5,0.75252,0.42742,0.85629,0.77333,0.3804,0.61222,0.50525,0.81631,2.63163,0.81704,0.0004861,0.0004861,0.0004861
17,47803.7,0.74946,0.42406,0.85452,0.73925,0.42998,0.63111,0.51251,0.84458,2.43262,0.82003,0.000460574,0.000460574,0.000460574
18,50681.4,0.74638,0.41946,0.85335,0.68796,0.48481,0.64559,0.5151,0.84993,2.08716,0.82348,0.000434389,0.000434389,0.000434389
19,53568.8,0.74405,0.41704,0.85273,0.62627,0.5389,0.65584,0.51415,0.83925,1.71458,0.82622,0.000407705,0.000407705,0.000407705
20,56444,0.74106,0.41328,0.85235,0.86139,0.46175,0.66157,0.51041,0.81874,1.39789,0.82824,0.000380686,0.000380686,0.000380686
21,59292.8,0.73911,0.41073,0.8523,0.88858,0.46716,0.66374,0.50503,0.79912,1.12875,0.82994,0.0003535,0.0003535,0.0003535
22,62160.5,0.7375,0.40817,0.85216,0.84921,0.51461,0.6655,0.49995,0.78499,0.89395,0.83201,0.000326314,0.000326314,0.000326314
23,65022.2,0.73382,0.40537,0.85086,0.81764,0.54973,0.66944,0.49809,0.77783,0.7303,0.83366,0.000299295,0.000299295,0.000299295
24,67901.9,0.73241,0.4033,0.8509,0.80798,0.5687,0.67647,0.50023,0.77458,0.62809,0.83483,0.000272611,0.000272611,0.000272611
25,70782,0.73037,0.40089,0.85021,0.80577,0.58245,0.68405,0.50317,0.77184,0.56276,0.83532,0.000246426,0.000246426,0.000246426
26,73623.7,0.72807,0.3977,0.84878,0.8067,0.59209,0.68988,0.50562,0.7701,0.52367,0.83556,0.0002209,0.0002209,0.0002209
27,76471.5,0.72589,0.39544,0.84844,0.81028,0.59857,0.69537,0.50774,0.76827,0.49731,0.83557,0.000196192,0.000196192,0.000196192
28,79333.4,0.72466,0.39353,0.84809,0.81198,0.60613,0.70119,0.51077,0.76654,0.47834,0.83552,0.000172454,0.000172454,0.000172454
29,82200.1,0.72303,0.3915,0.84736,0.8169,0.60941,0.70577,0.5131,0.76472,0.46627,0.83527,0.000149832,0.000149832,0.000149832
30,85011.5,0.72159,0.39018,0.8467,0.81604,0.61513,0.71047,0.51547,0.76334,0.45691,0.83507,0.000128466,0.000128466,0.000128466
31,87897.6,0.7204,0.38867,0.84689,0.82025,0.61867,0.71412,0.51739,0.76167,0.44947,0.83477,0.000108488,0.000108488,0.000108488
32,90711.4,0.71914,0.38658,0.84711,0.82319,0.62163,0.71746,0.51927,0.76011,0.44468,0.83455,9.00193e-05,9.00193e-05,9.00193e-05
33,93521.7,0.71864,0.38578,0.84614,0.82165,0.62556,0.71984,0.52085,0.7584,0.4412,0.83411,7.31756e-05,7.31756e-05,7.31756e-05
34,96343.1,0.71761,0.38461,0.84611,0.81968,0.62917,0.72193,0.52206,0.75686,0.43768,0.83392,5.80602e-05,5.80602e-05,5.80602e-05
35,99173.4,0.71667,0.38384,0.84561,0.82212,0.63015,0.72313,0.52316,0.75537,0.43553,0.83362,4.47662e-05,4.47662e-05,4.47662e-05
36,101984,0.71589,0.38248,0.84548,0.82448,0.63011,0.72431,0.5239,0.75405,0.43385,0.83333,3.33757e-05,3.33757e-05,3.33757e-05
37,104813,0.71524,0.38199,0.84538,0.82345,0.63289,0.72557,0.52498,0.75285,0.43191,0.83305,2.39589e-05,2.39589e-05,2.39589e-05
38,107588,0.71512,0.38159,0.84493,0.82554,0.63331,0.72645,0.52562,0.75173,0.43055,0.83282,1.65738e-05,1.65738e-05,1.65738e-05
39,110395,0.71513,0.38177,0.84536,0.82577,0.63515,0.72769,0.52652,0.75069,0.42936,0.83256,1.1266e-05,1.1266e-05,1.1266e-05
