epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2766.51,1.10461,0.9599,0.94071,0.53446,0.26908,0.29335,0.19459,1.28118,1.1627,0.97626,0.0669014,0.000233324,0.000233324
2,5337.89,1.04513,0.78689,0.92391,0.60091,0.31609,0.35965,0.23989,1.15801,0.98557,0.93432,0.0338007,0.000465945,0.000465945
3,7733.69,1.02172,0.74056,0.91762,0.62409,0.3234,0.37781,0.25368,1.13502,0.97864,0.92629,0.000697097,0.000695724,0.000695724
4,10155.9,1.00563,0.71634,0.91246,0.60597,0.30503,0.36594,0.2506,1.15395,1.16,0.93119,0.000690426,0.000690426,0.000690426
5,12521.6,0.98729,0.68979,0.90665,0.61062,0.28081,0.35784,0.2486,1.17615,1.35843,0.93762,0.000683041,0.000683041,0.000683041
6,15009.3,0.97709,0.67327,0.90302,0.63128,0.26159,0.357,0.25041,1.1914,1.51839,0.94127,0.000673624,0.000673624,0.000673624
7,17436.1,0.96818,0.65991,0.89978,0.64458,0.25705,0.36026,0.25304,1.1932,1.56836,0.94129,0.000662234,0.000662234,0.000662234
8,19858,0.96121,0.64773,0.89763,0.64498,0.26572,0.36672,0.25633,1.18212,1.50941,0.93771,0.00064894,0.00064894,0.00064894
9,22351.7,0.95473,0.63912,0.89572,0.64172,0.28466,0.37639,0.26112,1.1624,1.39738,0.93196,0.000633824,0.000633824,0.000633824
10,24829.2,0.94922,0.63005,0.89331,0.63876,0.30734,0.38895,0.2676,1.13831,1.26287,0.92493,0.000616981,0.000616981,0.000616981
11,27285.3,0.94415,0.62335,0.89171,0.63827,0.32762,0.40103,0.27391,1.11619,1.14665,0.91862,0.000598512,0.000598512,0.000598512
12,29775.6,0.93926,0.61608,0.89052,0.63986,0.34647,0.41284,0.28078,1.09819,1.05586,0.91313,0.000578534,0.000578534,0.000578534
13,32279,0.93645,0.61098,0.88951,0.64419,0.36056,0.42446,0.28801,1.08189,0.98016,0.90804,0.000557168,0.000557168,0.000557168
14,34787.1,0.93255,0.60455,0.88826,0.64875,0.37336,0.43541,0.2949,1.06808,0.91623,0.90352,0.000534546,0.000534546,0.000534546
15,37286.7,0.92917,0.60072,0.88681,0.65287,0.38419,0.44428,0.30062,1.05723,0.86627,0.89964,0.000510808,0.000510808,0.000510808
16,39801.3,0.92583,0.59646,0.88641,0.65637,0.39344,0.45176,0.3056,1.04863,0.82889,0.89632,0.0004861,0.0004861,0.0004861
17,42302.7,0.92292,0.59209,0.88499,0.66134,0.39905,0.45859,0.30995,1.04217,0.8011,0.89372,0.000460574,0.000460574,0.000460574
18,44813,0.91971,0.58745,0.88419,0.66495,0.40542,0.46434,0.3137,1.03671,0.78032,0.89138,0.000434389,0.000434389,0.000434389
19,47286.3,0.91704,0.58379,0.88307,0.66644,0.41112,0.46884,0.31677,1.03255,0.762,0.88959,0.000407705,0.000407705,0.000407705
20,49694.6,0.91478,0.57992,0.88287,0.67059,0.41409,0.47322,0.31944,1.02886,0.74721,0.88803,0.000380686,0.000380686,0.000380686
21,52143.2,0.91163,0.57686,0.88171,0.67341,0.41906,0.4776,0.32196,1.02541,0.73382,0.88678,0.0003535,0.0003535,0.0003535
22,54584.4,0.91021,0.57352,0.88151,0.67653,0.42152,0.48058,0.32366,1.02257,0.72369,0.88552,0.000326314,0.000326314,0.000326314
23,57071.5,0.90669,0.57025,0.88083,0.67872,0.4243,0.4838,0.3256,1.01975,0.71571,0.88451,0.000299295,0.000299295,0.000299295
