epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1294.37,0.89321,0.66448,0.8894,0.53723,0.3278,0.35441,0.24196,1.08171,1.15003,0.91935,0.0669029,0.000233313,0.000233313
2,2541.39,0.869,0.62443,0.88619,0.63032,0.39282,0.44345,0.31072,0.97399,0.92418,0.89396,0.0338028,0.000466532,0.000466532
3,3776.83,0.85291,0.60583,0.88179,0.65198,0.41864,0.47628,0.33736,0.91009,0.81183,0.8764,0.000702261,0.000699296,0.000699296
4,4973.96,0.8348,0.58172,0.87649,0.69043,0.43201,0.50193,0.35825,0.88972,0.75547,0.86621,0.000698462,0.000698462,0.000698462
5,6228.38,0.81607,0.5521,0.8708,0.71492,0.45866,0.53168,0.38098,0.85605,0.69476,0.85732,0.000697268,0.000697268,0.000697268
6,7455.89,0.80156,0.53079,0.86705,0.71882,0.48882,0.56487,0.40467,0.83353,0.63788,0.85057,0.000695734,0.000695734,0.000695734
7,8689.75,0.79291,0.51736,0.86455,0.7405,0.51385,0.59578,0.42756,0.81083,0.58859,0.84444,0.000693863,0.000693863,0.000693863
8,9927.27,0.78303,0.50254,0.86219,0.74565,0.52659,0.61359,0.44045,0.79923,0.56273,0.84144,0.000691655,0.000691655,0.000691655
9,11170.9,0.7757,0.49243,0.85955,0.74532,0.54707,0.62673,0.44972,0.79194,0.54089,0.83955,0.000689114,0.000689114,0.000689114
10,12383.1,0.77067,0.48298,0.85786,0.75033,0.55413,0.63449,0.45555,0.78643,0.52708,0.83792,0.000686242,0.000686242,0.000686242
11,13627.4,0.76445,0.47464,0.8563,0.76332,0.55631,0.64179,0.46086,0.7822,0.5176,0.83686,0.000683041,0.000683041,0.000683041
12,14887.1,0.75881,0.4677,0.85422,0.77565,0.55812,0.64766,0.46525,0.77883,0.5092,0.83607,0.000679515,0.000679515,0.000679515
13,16115.7,0.75431,0.4612,0.85294,0.77432,0.56427,0.65194,0.4684,0.77646,0.50345,0.83553,0.000675668,0.000675668,0.000675668
14,17341.5,0.74927,0.45601,0.85188,0.78016,0.56629,0.65612,0.4713,0.77492,0.49897,0.83498,0.000671502,0.000671502,0.000671502
15,18530.3,0.7462,0.45144,0.8508,0.78184,0.56928,0.65924,0.47355,0.77326,0.49545,0.83448,0.000667023,0.000667023,0.000667023
16,19761.6,0.74291,0.44786,0.85015,0.7845,0.57246,0.66155,0.47558,0.77164,0.49238,0.83405,0.000662234,0.000662234,0.000662234
17,21010.9,0.74103,0.44381,0.84847,0.78395,0.57601,0.66449,0.47788,0.77008,0.48958,0.83352,0.00065714,0.00065714,0.00065714
18,22337.9,0.73684,0.43993,0.84808,0.78784,0.57646,0.66757,0.48039,0.76877,0.48789,0.833,0.000651747,0.000651747,0.000651747
19,23662.4,0.73449,0.4382,0.84783,0.7803,0.58488,0.67005,0.48242,0.77,0.50443,0.83255,0.00064606,0.00064606,0.00064606
20,24977.8,0.73104,0.4334,0.84678,0.77967,0.58452,0.67064,0.48326,0.77904,0.57172,0.83221,0.000640083,0.000640083,0.000640083
21,26295.3,0.72941,0.43083,0.84718,0.78218,0.58607,0.67035,0.48377,0.79627,0.67027,0.83225,0.000633824,0.000633824,0.000633824
22,27604.5,0.72783,0.42773,0.84608,0.78255,0.58502,0.67011,0.48452,0.80999,0.73586,0.83214,0.000627289,0.000627289,0.000627289
23,28921.3,0.72545,0.42486,0.84588,0.78249,0.58643,0.67066,0.4857,0.81524,0.76124,0.83194,0.000620483,0.000620483,0.000620483
24,30235.7,0.72217,0.42243,0.84459,0.78632,0.58789,0.67305,0.48739,0.81021,0.74572,0.83142,0.000613413,0.000613413,0.000613413
25,31538.6,0.72173,0.42057,0.84374,0.78849,0.59176,0.67679,0.49005,0.80217,0.7155,0.83081,0.000606088,0.000606088,0.000606088
26,32837.8,0.71905,0.41758,0.8439,0.7936,0.59351,0.6799,0.49256,0.79284,0.67787,0.83021,0.000598512,0.000598512,0.000598512
27,34125.1,0.71741,0.41626,0.84333,0.79394,0.5974,0.68368,0.49479,0.78431,0.64024,0.8296,0.000590696,0.000590696,0.000590696
28,35398.4,0.716,0.41389,0.84257,0.79881,0.59903,0.68692,0.49685,0.77716,0.60602,0.82915,0.000582645,0.000582645,0.000582645
29,36675.3,0.71465,0.41138,0.84205,0.79824,0.60285,0.68924,0.49849,0.77278,0.58642,0.82874,0.000574367,0.000574367,0.000574367
30,37979.9,0.71251,0.40985,0.8413,0.79549,0.60565,0.69136,0.49964,0.76771,0.56041,0.82849,0.000565872,0.000565872,0.000565872
31,39275.3,0.71088,0.40852,0.84236,0.79645,0.60714,0.69353,0.50107,0.76371,0.54065,0.82825,0.000557168,0.000557168,0.000557168
32,40583,0.70993,0.40618,0.84188,0.79659,0.60925,0.69506,0.50221,0.76097,0.52781,0.8281,0.000548262,0.000548262,0.000548262
33,41873.1,0.70782,0.4048,0.8406,0.79917,0.60989,0.69674,0.50311,0.75901,0.52025,0.8279,0.000539164,0.000539164,0.000539164
34,43165.3,0.70599,0.40331,0.841,0.80132,0.61055,0.69819,0.5041,0.75707,0.51296,0.82767,0.000529883,0.000529883,0.000529883
35,44455,0.70481,0.40131,0.84017,0.80407,0.6101,0.69938,0.50505,0.75501,0.50374,0.82739,0.000520428,0.000520428,0.000520428
36,45742.9,0.70226,0.39864,0.83944,0.80524,0.61192,0.70084,0.50593,0.7533,0.49632,0.82722,0.000510808,0.000510808,0.000510808
