epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1446.55,0.88431,0.54304,0.88022,0.70677,0.39077,0.45678,0.31832,1.0564,0.78663,0.90271,0.0666865,1.66651e-05,1.66651e-05
2,2598.54,0.85485,0.50958,0.87139,0.74781,0.43961,0.52046,0.36922,0.94733,0.70109,0.88079,0.0333698,3.32992e-05,3.32992e-05
3,3730.79,0.82729,0.46329,0.86462,0.73677,0.48546,0.56893,0.4019,0.90907,0.63447,0.86876,5.29583e-05,4.98033e-05,4.98033e-05
4,4869.99,0.81153,0.4367,0.86105,0.76446,0.51427,0.60624,0.42634,0.88264,0.58178,0.85916,4.95616e-05,4.95616e-05,4.95616e-05
5,6001.54,0.80214,0.42551,0.85716,0.75062,0.53272,0.61542,0.4328,0.874,0.56745,0.85654,4.92224e-05,4.92224e-05,4.92224e-05
6,7147.03,0.79668,0.42012,0.85685,0.76054,0.53914,0.6248,0.43992,0.86731,0.55666,0.85497,4.87886e-05,4.87886e-05,4.87886e-05
7,8282.08,0.79316,0.41624,0.85607,0.76056,0.54851,0.63329,0.44653,0.86271,0.54486,0.85328,4.8262e-05,4.8262e-05,4.8262e-05
8,9403.63,0.7896,0.41338,0.85438,0.75806,0.5584,0.63895,0.45108,0.8575,0.53625,0.85242,4.76445e-05,4.76445e-05,4.76445e-05
9,10543.6,0.78757,0.41074,0.85394,0.7659,0.56022,0.64322,0.45406,0.85046,0.52519,0.85121,4.69386e-05,4.69386e-05,4.69386e-05
10,11664.7,0.78515,0.40759,0.85354,0.77503,0.56912,0.65576,0.46305,0.84429,0.51101,0.84983,4.61471e-05,4.61471e-05,4.61471e-05
11,12779.6,0.78375,0.40581,0.8532,0.77679,0.5827,0.66498,0.46996,0.83755,0.49851,0.84827,4.52732e-05,4.52732e-05,4.52732e-05
12,13918.6,0.78191,0.40384,0.85256,0.78888,0.58795,0.67368,0.47582,0.83079,0.48839,0.84683,4.43202e-05,4.43202e-05,4.43202e-05
13,15056.5,0.78025,0.40193,0.85249,0.78308,0.59709,0.67686,0.4783,0.82736,0.48414,0.84632,4.3292e-05,4.3292e-05,4.3292e-05
14,16175.9,0.77902,0.40049,0.85192,0.78638,0.59946,0.6812,0.48073,0.82566,0.47965,0.84603,4.21925e-05,4.21925e-05,4.21925e-05
15,17290.5,0.77748,0.399,0.85194,0.78939,0.60349,0.68495,0.48387,0.82365,0.47502,0.84569,4.10262e-05,4.10262e-05,4.10262e-05
16,18417,0.77582,0.39833,0.85089,0.79527,0.60686,0.68978,0.48645,0.82218,0.47147,0.84539,3.97977e-05,3.97977e-05,3.97977e-05
17,19534.1,0.77472,0.39767,0.85074,0.79766,0.60859,0.69252,0.48838,0.82137,0.46971,0.84527,3.85117e-05,3.85117e-05,3.85117e-05
18,20668,0.77437,0.39653,0.85054,0.79827,0.61114,0.69422,0.48938,0.8204,0.46823,0.84505,3.71734e-05,3.71734e-05,3.71734e-05
19,21797.6,0.77344,0.39567,0.85059,0.79889,0.61352,0.69483,0.48966,0.81996,0.46807,0.8449,3.5788e-05,3.5788e-05,3.5788e-05
20,22909.3,0.77226,0.3947,0.84984,0.79505,0.61477,0.69443,0.48922,0.81974,0.46816,0.84484,3.43611e-05,3.43611e-05,3.43611e-05
21,24058.6,0.77155,0.39347,0.84976,0.79574,0.61487,0.69423,0.48921,0.81956,0.46823,0.8448,3.28982e-05,3.28982e-05,3.28982e-05
22,25196.5,0.77102,0.39285,0.84973,0.79554,0.61481,0.69443,0.48924,0.81937,0.46809,0.84472,3.14051e-05,3.14051e-05,3.14051e-05
23,26292.4,0.76999,0.39229,0.84911,0.79385,0.61564,0.69439,0.48917,0.81926,0.46802,0.84466,2.98877e-05,2.98877e-05,2.98877e-05
24,27418.8,0.76924,0.39126,0.8496,0.79321,0.61704,0.69433,0.48903,0.81923,0.468,0.84465,2.8352e-05,2.8352e-05,2.8352e-05
25,28567.7,0.76907,0.39092,0.84909,0.79421,0.61685,0.69422,0.48908,0.81913,0.46797,0.84462,2.68041e-05,2.68041e-05,2.68041e-05
26,29664.2,0.76818,0.39042,0.84847,0.7948,0.61654,0.69396,0.48898,0.81905,0.46804,0.84459,2.525e-05,2.525e-05,2.525e-05
27,30803,0.76764,0.38972,0.84895,0.79473,0.61703,0.694,0.48917,0.81903,0.46808,0.84456,2.36959e-05,2.36959e-05,2.36959e-05
28,31936.4,0.76767,0.38933,0.84841,0.79585,0.61674,0.69402,0.48929,0.81902,0.46814,0.84454,2.2148e-05,2.2148e-05,2.2148e-05
29,33045.7,0.76666,0.38918,0.84843,0.79609,0.61689,0.69413,0.48934,0.81906,0.46825,0.84451,2.06123e-05,2.06123e-05,2.06123e-05
30,34203.1,0.76585,0.38898,0.84724,0.79634,0.61663,0.69389,0.48929,0.81912,0.46835,0.84446,1.90949e-05,1.90949e-05,1.90949e-05
31,35334,0.76645,0.38831,0.84854,0.79614,0.61715,0.69379,0.48938,0.8192,0.46846,0.84446,1.76018e-05,1.76018e-05,1.76018e-05
32,36474.8,0.76649,0.38737,0.84747,0.7951,0.61747,0.69374,0.48941,0.81924,0.4685,0.84443,1.61389e-05,1.61389e-05,1.61389e-05
33,37584.8,0.76516,0.38728,0.84716,0.79696,0.61627,0.69353,0.48925,0.81928,0.46851,0.84442,1.4712e-05,1.4712e-05,1.4712e-05
34,38719.3,0.76467,0.38697,0.84776,0.79544,0.61704,0.69341,0.48908,0.81929,0.46854,0.8444,1.33266e-05,1.33266e-05,1.33266e-05
